S,E,I,R,Beta
9940,0,60,0,0.0074782025486250835
5480,4460,56,4,0.00770985401459854
3114,6372,503,11,0.0019759413972172107
19,8800,1126,55,0.0008880994671403197
0,7933,1923,144,
0,7143,2571,286,
0,6443,3073,484,
0,5765,3500,735,
0,5193,3769,1038,
0,4670,3989,1341,
0,4215,4153,1632,
0,3810,4219,1971,
0,3387,4299,2314,
0,3045,4278,2677,
0,2718,4244,3038,
0,2446,4150,3404,
0,2230,4022,3748,
0,2022,3931,4047,
0,1846,3816,4338,
0,1673,3697,4630,
0,1503,3595,4902,
0,1365,3454,5181,
0,1243,3331,5426,
0,1120,3204,5676,
0,1007,3071,5922,
0,923,2884,6193,
0,834,2722,6444,
0,752,2589,6659,
0,673,2473,6854,
0,602,2367,7031,
0,537,2262,7201,
0,482,2138,7380,
0,436,2026,7538,
0,397,1890,7713,
0,356,1804,7840,
0,318,1735,7947,
0,287,1622,8091,
0,258,1524,8218,
0,241,1412,8347,
0,211,1348,8441,
0,189,1242,8569,
0,165,1152,8683,
0,148,1080,8772,
0,132,1001,8867,
0,122,923,8955,
0,107,872,9021,
0,92,812,9096,
0,84,762,9154,
0,76,710,9214,
0,71,656,9273,
0,66,617,9317,
0,61,569,9370,
0,58,523,9419,
0,50,498,9452,
0,48,471,9481,
0,44,431,9525,
0,42,408,9550,
0,39,382,9579,
0,33,353,9614,
0,27,332,9641,
0,25,309,9666,
0,22,286,9692,
0,17,262,9721,
0,15,240,9745,
0,14,215,9771,
0,14,198,9788,
0,14,185,9801,
0,12,171,9817,
0,11,156,9833,
0,10,147,9843,
0,9,135,9856,
0,7,117,9876,
0,6,109,9885,
0,6,100,9894,
0,6,90,9904,
0,6,85,9909,
0,5,80,9915,
0,4,77,9919,
0,3,75,9922,
0,3,71,9926,
0,2,66,9932,
0,2,60,9938,
0,2,57,9941,
0,2,52,9946,
0,2,48,9950,
0,2,46,9952,
0,1,45,9954,
0,1,42,9957,
0,1,38,9961,
0,1,36,9963,
0,1,34,9965,
0,1,30,9969,
0,1,27,9972,
0,1,27,9972,
0,1,26,9973,
0,1,23,9976,
0,1,22,9977,
0,1,22,9977,
0,1,22,9977,
0,0,21,9979,
0,0,20,9980,
0,0,19,9981,
0,0,16,9984,
0,0,15,9985,
0,0,14,9986,
0,0,12,9988,
0,0,12,9988,
0,0,12,9988,
0,0,10,9990,
0,0,6,9994,
0,0,6,9994,
0,0,6,9994,
0,0,6,9994,
0,0,5,9995,
0,0,4,9996,
0,0,4,9996,
0,0,4,9996,
0,0,3,9997,
0,0,3,9997,
0,0,3,9997,
0,0,3,9997,
0,0,3,9997,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
