S,E,I,R,Beta
10000,0,0,0,
10000,0,0,0,
9998,2,0,0,
9998,2,0,0,
9998,2,0,0,
9998,2,0,0,
9996,4,0,0,
9996,3,1,0,0.00010004001600640257
9995,4,1,0,0.00010005002501250626
9994,5,1,0,0.00020012007204322593
9992,7,1,0,0.0
9992,7,1,0,0.00030024019215372296
9989,10,1,0,0.00010011012113324657
9988,9,3,0,6.674676278200507e-05
9986,10,4,0,5.007009813739235e-05
9984,10,6,0,8.346688034188034e-05
9979,13,7,1,1.4315777418292701e-05
9978,13,7,2,0.0
9978,12,8,2,0.0
9978,10,10,2,3.0066145520144318e-05
9975,12,10,3,0.0
9975,11,9,5,1.113895850737956e-05
9974,10,8,8,1.2532584720272709e-05
9973,10,9,8,1.11411923304032e-05
9972,10,10,8,5.0140393100681907e-05
9967,14,9,10,0.0
9967,14,8,11,0.0
9967,11,10,12,2.0066218521119694e-05
9965,13,9,13,2.2300273178346436e-05
9963,15,8,14,2.5092843521027803e-05
9961,16,8,15,1.2548940869390623e-05
9960,13,11,16,9.127418765972983e-06
9959,13,10,18,2.0082337584094788e-05
9957,15,6,22,0.0
9957,14,7,22,0.0
9957,14,7,22,2.8694816281438757e-05
9955,15,7,23,2.8700581186769032e-05
9953,16,8,23,2.511805485783181e-05
9951,17,7,25,2.8712117949380537e-05
9949,19,6,26,0.0
9949,17,7,27,4.30768347141852e-05
9946,20,4,30,0.00015081439774783834
9940,25,4,31,2.5150905432595573e-05
9939,26,3,32,6.70758292249388e-05
9937,28,3,32,0.0
9937,25,6,32,3.354466472107611e-05
9935,26,7,32,4.313753684664605e-05
9932,26,10,32,4.027386226339106e-05
9928,27,13,32,2.3244281906650963e-05
9925,26,15,34,2.0151133501259446e-05
9922,26,18,34,1.6797688638043404e-05
9919,28,17,36,1.186077818565676e-05
9917,25,20,38,5.0418473328627606e-06
9916,23,21,40,1.4406730824641273e-05
9913,24,23,40,8.77196829810657e-06
9911,24,22,43,2.2931361847717413e-05
9906,26,24,44,8.412409987213136e-06
9904,26,24,46,1.6828217555196553e-05
9900,28,23,49,1.3175230566534915e-05
9897,25,28,50,1.8042985608914678e-05
9892,28,27,53,2.9953123361938567e-05
9884,36,26,54,7.782585686268406e-06
9882,36,23,59,1.759897222002235e-05
9878,36,24,62,0.0
9878,34,25,63,0.0
9878,32,26,64,1.5574625819614684e-05
9874,32,26,68,1.5580935167728767e-05
9870,32,29,69,1.3974775530168048e-05
9866,35,26,73,7.796784606028475e-06
9864,36,23,77,8.815543566416305e-06
9862,35,25,78,1.2167917258162644e-05
9859,36,27,78,7.513345580086629e-06
9857,34,27,82,7.5148700491096754e-06
9855,32,28,85,1.0871928680147858e-05
9852,34,28,86,7.250159503509078e-06
9850,33,29,88,1.4003150708909505e-05
9846,35,27,92,0.0
9846,35,23,96,2.207914933453444e-05
9841,38,23,98,4.418073454889261e-06
9840,35,25,100,2.8455284552845528e-05
9833,39,25,103,2.4407607037526696e-05
9827,44,25,104,2.0352091177368475e-05
9822,46,27,105,1.131247313287631e-05
9819,44,29,108,2.8094721353041782e-05
9811,50,30,109,2.3782828797608126e-05
9804,51,35,110,3.7885411202424664e-05
9791,59,37,113,3.0364344530415413e-05
9780,65,38,117,2.9598536217845225e-05
9769,69,41,121,1.7476886817184272e-05
9762,68,48,122,2.5609506248719525e-05
9750,73,52,125,2.7613412228796845e-05
9736,77,59,128,1.7408743367268776e-05
9726,76,69,129,2.8311980139890982e-05
9707,88,65,140,1.9018788978611786e-05
9695,89,68,148,1.9719078967327003e-05
9682,94,66,158,2.0343905904740442e-05
9669,96,75,160,2.2063639811080085e-05
9653,99,86,162,2.409179939240482e-05
9633,108,90,169,1.1534424489890077e-05
9623,107,98,172,2.6509616628528166e-05
9598,121,100,181,2.9172744321733694e-05
9570,137,107,186,1.757829666305335e-05
9552,141,113,194,2.0382146721809638e-05
9530,151,111,208,2.1742624051123527e-05
9507,157,116,220,1.3601593018574336e-05
9492,154,123,231,2.3982540710362855e-05
9464,169,122,245,1.645580144949628e-05
9445,169,134,252,2.449373039513918e-05
9414,183,136,267,2.03076769267299e-05
9388,191,142,279,1.5002670475344611e-05
9368,195,146,291,1.8278488120445e-05
9343,203,155,299,1.5191639074276757e-05
9321,201,165,313,1.7555666091230946e-05
9294,202,184,320,1.695811229311103e-05
9265,214,185,336,1.575239567684252e-05
9238,227,185,350,1.4043053662018806e-05
9214,235,191,360,1.7614897430156932e-05
9183,245,193,379,1.3541580268563391e-05
9159,244,209,388,1.7239298705328666e-05
9126,242,223,409,1.523268166938398e-05
