,median_beta
0,
1,
2,0.0007558198125566
3,0.00033678539124975
4,0.00020251114018885
5,0.0001464158617183
6,0.0001105893561998
7,9.307448368611556e-05
8,7.900822097401658e-05
9,7.018178913554578e-05
10,6.266761099130214e-05
11,6.017450606759603e-05
12,5.5728313887623276e-05
13,5.297557664429002e-05
14,5.031699708161417e-05
15,5.068937550689376e-05
16,5.1141616437989985e-05
17,5.0122800988035446e-05
18,4.99389755108469e-05
19,4.964100527548501e-05
20,4.8872509215203826e-05
21,4.903366723867273e-05
22,4.762865602725392e-05
23,4.655759244372615e-05
24,4.528162359291258e-05
25,4.4624692177021366e-05
26,4.357131420713351e-05
27,4.328336207348575e-05
28,4.2327257035704e-05
29,4.104885395763078e-05
30,3.7160186866388476e-05
31,3.657977597163825e-05
32,3.507047373298314e-05
33,3.474063972006396e-05
34,3.3811960417465004e-05
35,3.234875568359307e-05
36,3.16350332232464e-05
37,3.1258347320783405e-05
38,3.054369915450779e-05
39,3.00978334164928e-05
40,2.91225443416081e-05
41,2.8522950317973957e-05
42,2.803471293945158e-05
43,2.7251759562977728e-05
44,2.665208345119337e-05
45,2.617577074930911e-05
46,2.5469776136140616e-05
47,2.5041886359643e-05
48,2.4775964461464464e-05
49,2.410892837737947e-05
50,2.356426311182926e-05
51,2.3107877910385445e-05
52,2.25498091215438e-05
53,2.219575973678575e-05
54,2.20262815493706e-05
55,2.1405706193164458e-05
56,2.1025725126343454e-05
57,2.083755561769942e-05
58,2.032323509698903e-05
59,1.9786198060978022e-05
60,1.9674987907902437e-05
61,1.9180688185655112e-05
62,1.8811854517618472e-05
63,1.857351043196699e-05
64,1.8132053684607122e-05
65,1.7647188582268988e-05
66,1.750872008846162e-05
67,1.734113437101637e-05
68,1.7074451625784695e-05
69,1.653145985432218e-05
70,1.6399596816094215e-05
71,1.5957840784163513e-05
72,1.572523667569431e-05
73,1.5419925543460367e-05
74,1.5377612875243182e-05
75,1.5212205850240529e-05
76,1.5156596055874792e-05
77,1.4557792086489816e-05
78,1.4459787107499402e-05
79,1.420661148638364e-05
80,1.4178287235895642e-05
81,1.3737062091324992e-05
82,1.3889150243866597e-05
83,1.3608334567359876e-05
84,1.3351771283032675e-05
85,1.3218157866793224e-05
86,1.2855150696767271e-05
87,1.2786088735455825e-05
88,1.2698620022821236e-05
89,1.2399705720480448e-05
90,1.2388656945700515e-05
91,1.2211690370914531e-05
92,1.2000258467105446e-05
93,1.1876889986900157e-05
94,1.1848410398236773e-05
95,1.1703338731002543e-05
96,1.1766582904551076e-05
97,1.1537731163816576e-05
98,1.1232071444143164e-05
99,1.1466975452304605e-05
