S,E,I,R,Beta
10000,0,0,0,0.0
9993,7,0,0,0.0
9985,15,0,0,0.0
9980,17,3,0,0.0001336005344021
9976,19,5,0,0.0001002405773857
9971,23,5,1,0.0002206398555811
9960,32,7,1,0.0001864601262191
9947,40,10,3,0.0001105861063637
9936,49,11,4,0.0001189430537256
9923,53,19,5,5.834398553069159e-05
9912,58,24,6,6.30548829701372e-05
9897,68,28,7,3.247737409604642e-05
9888,69,34,9,3.8668379973348565e-05
9875,77,37,11,4.652754019842627e-05
9858,88,41,13,5.690562079083968e-05
9835,103,44,18,4.621712806766188e-05
9815,113,50,22,4.686704024452369e-05
9792,124,55,29,5.0133689839572194e-05
9765,134,68,33,5.722719195204964e-05
9727,156,78,39,4.085904157868792e-05
9696,172,85,47,4.489419530188313e-05
9659,196,98,47,3.697513791726443e-05
9624,214,108,54,3.944613774206459e-05
9583,231,118,68,3.448904044414809e-05
9544,249,130,77,3.868721387581404e-05
9496,277,141,86,2.838074411323618e-05
9458,295,153,94,3.040618517090349e-05
9414,309,175,102,2.792193996782907e-05
9368,317,199,116,2.521145436834042e-05
9321,327,228,124,2.729170313402861e-05
9263,354,237,146,2.32311209562476e-05
9212,361,257,170,3.801504043955524e-05
9122,410,279,189,3.4184165423070305e-05
9035,456,292,217,3.714625770405804e-05
8937,508,311,244,3.0222274031834848e-05
8853,550,327,270,3.385227489014418e-05
8755,595,347,303,3.159989269203107e-05
8659,617,394,330,2.9018251014319772e-05
8560,644,440,356,2.4426508071367885e-05
8468,677,459,396,2.9072669323857188e-05
8355,724,485,436,2.196351342180434e-05
8266,752,504,478,2.616378432976546e-05
8157,790,533,520,2.875095941951583e-05
8032,846,577,545,2.3950989801625383e-05
7921,861,627,591,2.0135037643459628e-05
7821,880,648,651,2.5453787760398168e-05
7692,917,686,705,2.0467290994846792e-05
7584,934,732,750,2.5938991492010792e-05
7440,982,783,795,2.0427360990950165e-05
7321,997,840,842,1.9350726221372307e-05
7202,1000,887,911,2.0819720940600555e-05
7069,1037,917,977,2.1443095654872916e-05
6930,1105,910,1055,2.1248592677164105e-05
6796,1120,960,1124,1.793334314302531e-05
6679,1133,970,1218,2.145515332716948e-05
6540,1170,978,1312,1.9543098003164417e-05
6415,1169,1031,1385,2.1470048148850937e-05
6273,1176,1065,1486,1.5716810026426692e-05
6168,1187,1066,1579,1.749026020640332e-05
6053,1194,1091,1662,1.832272003656064e-05
5932,1202,1125,1741,1.4235408706076271e-05
5837,1174,1162,1827,1.6365420073794776e-05
5726,1174,1188,1912,1.7493599400689866e-05
5607,1172,1192,2029,1.7505682613894665e-05
5490,1161,1228,2121,1.6316310971087498e-05
5380,1164,1235,2221,1.3695949911954609e-05
5289,1127,1257,2327,1.6395235273882406e-05
5180,1107,1274,2439,1.5153076377566171e-05
5080,1076,1290,2554,1.8922053347982664e-05
4956,1094,1315,2635,1.4270063248602914e-05
4863,1104,1312,2721,1.2225214787619808e-05
4785,1051,1330,2834,1.4927601134497689e-05
4690,1058,1303,2949,1.456373433784918e-05
4601,1050,1315,3034,1.305717140347238e-05
4522,1022,1302,3154,1.2738541936299138e-05
4447,998,1295,3260,1.6843596785130402e-05
4350,1002,1275,3373,1.388325445120577e-05
4273,990,1256,3481,1.136599086845114e-05
4212,953,1240,3595,1.474282388260883e-05
4135,941,1227,3697,1.281130232801073e-05
4070,922,1208,3800,1.566135672095937e-05
3993,919,1190,3898,1.1364425559855796e-05
3939,889,1181,3991,9.028454464022576e-06
3897,854,1156,4093,1.620446213172585e-05
3824,845,1142,4189,1.3281404568070404e-05
3766,810,1156,4268,1.0795921255009769e-05
3719,761,1170,4350,1.2410283988665274e-05
3665,746,1136,4453,1.3450416002152066e-05
3609,740,1096,4555,1.4157631064269578e-05
3553,729,1079,4639,1.147720197293102e-05
3509,695,1052,4744,1.3273852028515483e-05
3460,675,1042,4823,1.081734769729178e-05
3421,659,1014,4906,1.326071076256582e-05
3375,636,995,4994,9.529127117066816e-06
3343,600,984,5073,1.155186544387131e-05
3305,566,986,5143,1.258158853295609e-05
3264,556,955,5225,1.0907504363001746e-05
3230,533,936,5301,7.276864862004179e-06
3208,508,913,5371,9.559889979323323e-06
3180,484,891,5445,1.1646866992778942e-05
